# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = normal_model
# start_datetime = 2021-05-27 01:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./ex_toy01/inputs.json
# init = ./ex_toy01/init.json
# random
#   seed = 2996367183 (Default)
# output
#   file = ./ex_toy01/output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.048678
# Diagonal elements of inverse mass matrix:
# 1, 1
23.0144,0.953953,0.048678,2,3,0,-22.7924,-1.09117,0.391252
23.924,0.943275,0.048678,2,3,0,-22.2656,-1.05361,0.393072
23.5343,0.954259,0.048678,2,7,0,-21.3737,-0.987128,0.313373
24.7483,0.991852,0.048678,2,3,0,-23.2552,-0.991838,0.361149
24.7367,0.999137,0.048678,2,7,0,-24.7142,-0.994202,0.35687
24.445,0.97929,0.048678,2,5,0,-24.1625,-1.00105,0.39373
24.5523,0.966835,0.048678,1,3,0,-23.9819,-0.968269,0.37697
24.7183,1,0.048678,2,3,0,-24.5345,-1.00946,0.362145
24.5607,0.98211,0.048678,3,7,0,-24.4733,-1.02029,0.379372
24.1152,0.859174,0.048678,2,7,0,-22.94,-0.975056,0.328563
24.5253,0.980741,0.048678,2,7,0,-23.7249,-1.01518,0.385395
22.8639,0.941989,0.048678,2,3,0,-22.813,-0.986671,0.447256
23.6988,1,0.048678,2,3,0,-22.8698,-0.999221,0.423387
24.0762,0.846532,0.048678,3,7,0,-21.5611,-1.00152,0.410075
24.5689,0.985479,0.048678,1,3,0,-23.5841,-1.0057,0.385568
23.9081,0.912266,0.048678,2,5,0,-23.5807,-0.931287,0.356137
24.5748,0.951615,0.048678,2,3,0,-23.4696,-0.975444,0.348249
24.2973,0.971896,0.048678,2,3,0,-24.2384,-1.04155,0.353212
24.2177,0.98497,0.048678,2,5,0,-23.4545,-0.974775,0.401568
23.1787,0.807451,0.048678,1,3,0,-22.0491,-1.05775,0.423016
23.7473,1,0.048678,3,7,0,-22.8721,-0.957003,0.414246
23.6439,0.995197,0.048678,2,3,0,-23.3736,-0.979452,0.423977
23.5743,0.996622,0.048678,1,1,0,-23.5438,-0.978427,0.426048
23.103,0.903447,0.048678,2,7,0,-22.0569,-0.901944,0.384697
23.3242,0.965506,0.048678,2,3,0,-22.4679,-1.08084,0.35688
23.9576,1,0.048678,2,3,0,-23.3179,-0.936698,0.349526
23.9426,1,0.048678,3,7,0,-23.8039,-1.05729,0.386475
23.5521,0.983294,0.048678,2,7,0,-22.935,-1.05506,0.410495
22.6574,0.993177,0.048678,2,3,0,-22.3326,-0.944435,0.444066
23.8866,0.990971,0.048678,2,7,0,-22.1069,-0.967973,0.413048
23.2041,0.940174,0.048678,2,7,0,-21.8578,-1.02645,0.311387
24.5705,1,0.048678,2,3,0,-23.1544,-0.97161,0.350832
24.4858,0.973266,0.048678,2,3,0,-24.2291,-0.975634,0.342527
23.8484,0.85806,0.048678,2,7,0,-22.6827,-0.926306,0.367724
24.4147,0.926223,0.048678,2,5,0,-23.0429,-0.976259,0.338796
24.3095,0.993032,0.048678,2,3,0,-24.1907,-1.00009,0.331604
23.8929,0.800713,0.048678,2,7,0,-22.7177,-1.06309,0.377461
